Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
09:32,7;412,008;-93,09999847;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-93,09999847
09:33,2;293,568;-98,59999847;2071387;231;14;Serving beam;n257;26500;231_14;231014;68;-98,59999847
09:33,7;326,981;-100,3000031;2073115;232;14;Detected beam;n257;26500;232_14;232014;68;-100,3000031
09:34,2;228,84;-100,3000031;2073115;232;14;Detected beam;n257;26500;232_14;232014;68;-100,3000031
09:34,7;307,132;-100,5999985;2073115;232;14;Detected beam;n257;26500;232_14;232014;68;-100,5999985
09:35,2;203,721;-101,9000015;2073115;232;14;Detected beam;n257;26500;232_14;232014;68;-101,9000015
09:35,7;376,492;-102,6999969;2071387;231;14;Serving beam;n257;26500;231_14;231014;68;-102,6999969
09:36,2;997,478;-101,3000031;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-101,3000031
09:36,7;1116,624;-96,80000305;2071387;231;14;Serving beam;n257;26500;231_14;231014;68;-96,80000305
09:37,2;1244,856;-93,80000305;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-93,80000305
09:37,7;561,912;-92,40000153;2071387;231;14;Serving beam;n257;26500;231_14;231014;68;-92,40000153
09:38,2;432,096;-95,30000305;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-95,30000305
09:38,7;436,944;-98,19999695;2073115;232;14;Detected beam;n257;26500;232_14;232014;68;-98,19999695
09:39,2;407,064;-98,09999847;2073115;232;14;Detected beam;n257;26500;232_14;232014;68;-98,09999847
09:39,7;714,816;-98,09999847;2073115;232;14;Detected beam;n257;26500;232_14;232014;68;-98,09999847
09:40,2;397,536;-95,5;2071387;231;14;Serving beam;n257;26500;231_14;231014;68;-95,5
09:40,7;469,896;-98,59999847;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-98,59999847
09:41,2;790,512;-98,30000305;2071387;231;15;Serving beam;n257;26500;231_15;231015;68;-98,30000305
09:41,7;507,816;-97,90000153;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-97,90000153
09:42,2;500,352;-99,09999847;2071387;231;14;Detected beam;n257;26500;231_14;231014;68;-99,09999847
09:42,7;1091,304;-96,80000305;2071387;231;15;Detected beam;n257;26500;231_15;231015;68;-96,80000305
09:43,2;1366,537;-91,19999695;2071387;231;15;Serving beam;n257;26500;231_15;231015;68;-91,19999695
09:43,7;1772,954;-89,09999847;2071387;231;15;Serving beam;n257;26500;231_15;231015;67;-89,09999847
09:44,2;2135,697;-87,59999847;2071387;231;15;Serving beam;n257;26500;231_15;231015;67;-87,59999847
09:44,7;2069,448;-87,19999695;2071387;231;15;Serving beam;n257;26500;231_15;231015;67;-87,19999695
09:45,2;1728,456;-87;2071387;231;15;Serving beam;n257;26500;231_15;231015;67;-87
09:45,7;2051,256;-86,30000305;2071387;231;15;Serving beam;n257;26500;231_15;231015;67;-86,30000305
09:46,2;1742,4;-86,40000153;2071387;231;15;Serving beam;n257;26500;231_15;231015;67;-86,40000153
09:46,7;1779,576;-87;2071387;231;15;Detected beam;n257;26500;231_15;231015;67;-87
